"sample","BC1","BC2","BC3","BC4","BC5","BC6","BC7","BC12","BC9","BC10"
"ENSG00000011638.10",264,166,192,814,761,730,946,745,1438,876
"ENSG00000011677.12",2,61,1,0,93,1,59,1,1,2
"ENSG00000012048.20",629,1096,173,476,388,817,580,152,155,124
"ENSG00000012061.15",788,992,500,2240,1594,982,1138,470,924,347
"ENSG00000012124.16",27,96,464,59,30,88,40,141,182,88
"ENSG00000012171.19",26,1603,462,2166,366,2380,319,65,87,36
"ENSG00000012174.11",415,1467,380,1576,350,1397,1147,520,771,306
"ENSG00000012211.12",120,269,166,420,146,268,376,88,264,55
"ENSG00000012223.12",966,71,117,65,36379,25,70,54,1835,4335
"ENSG00000012232.8",1106,394,314,1709,564,675,2329,349,402,172
"ENSG00000012504.13",14,0,0,0,0,0,1,0,0,0
"ENSG00000012660.13",1190,8141,2104,11644,1968,5507,3078,1190,3597,7571
"ENSG00000012779.10",35,50,28,98,73,185,124,89,81,83
"ENSG00000012817.15",0,0,0,0,0,4,286,1,0,0
"ENSG00000012822.15",273,976,872,2098,557,1994,1046,350,639,356
"ENSG00000012963.14",101,267,120,192,68,170,228,171,118,45
"ENSG00000012983.11",547,1756,602,886,595,1488,883,508,701,405
"ENSG00000013016.15",73,155,217,805,114,211,374,112,241,76
"ENSG00000013275.7",1862,3209,1668,4045,3814,1417,3402,850,4920,819
"ENSG00000013288.8",352,2481,1255,2894,1179,1484,1335,522,1131,615
"ENSG00000013293.5",0,0,0,0,0,0,52,0,6,1
"ENSG00000013297.10",20,40,32,122,9,75,237,41,134,117
"ENSG00000013306.15",2439,11343,3528,9937,8478,4004,4042,2911,3447,1342
"ENSG00000013364.18",687,4386,1393,5329,2886,1459,1109,718,635,1052
"ENSG00000013374.15",665,2321,880,3025,1362,1500,1043,425,1182,549
"ENSG00000013375.15",438,713,603,803,784,802,1175,766,623,400
"ENSG00000013392.7",77,421,226,280,138,301,244,713,184,125
